nearestid,country,averageincquintile,lengthinmetres,startlat,startlon,endlat,endlon
18246Ballintemple,Ireland,4.4,14779,51.85872,-8,51.78378,-8.17667
18253Corkbeg,Ireland,4.5,7235,51.78378,-8.17667,51.81419,-8.26922
18253Corkbeg,Ireland,4.5,8352,51.81419,-8.26922,51.86122,-8.17497
17041Knockrea B,Ireland,3.2,20243,51.86122,-8.17497,51.90042,-8.46167
18195Templebreedy,Ireland,3.1,17199,51.90042,-8.46167,51.7975,-8.27586
18195Templebreedy,Ireland,4.6,10451,51.7975,-8.27586,51.71461,-8.34667
18194Nohaval,Ireland,4.6,13213,51.71461,-8.34667,51.69542,-8.53503
18189Kinsale Rural,Ireland,4.5,9939,51.69542,-8.53503,51.60622,-8.53336
18057Butlerstown,Ireland,4.1,16376,51.60622,-8.53336,51.64372,-8.76167
18057Butlerstown,Ireland,4.1,8917,51.64372,-8.76167,51.56956,-8.71342
18001Clonakilty Urban,Ireland,3.9,13232,51.56956,-8.71342,51.62125,-8.88506
18001Clonakilty Urban,Ireland,3.8,9505,51.62125,-8.88506,51.53878,-8.91997
18070Rathbarry,Ireland,2.7,15529,51.53878,-8.91997,51.56292,-9.14008
18292Castlehaven North,Ireland,2.2,18053,51.56292,-9.14008,51.46622,-9.34831
18306Skibbereen Rural,Ireland,1.7,8577,51.46622,-9.34831,51.54167,-9.32417
18306Skibbereen Rural,Ireland,1.6,8305,51.54167,-9.32417,51.49456,-9.41667
18316Kilcoe,Ireland,1.7,7892,51.49456,-9.41667,51.56039,-9.45839
18318Skull,Ireland,1.6,25539,51.56039,-9.45839,51.44458,-9.77503
18312Crookhaven,Ireland,1.2,6258,51.44458,-9.77503,51.48164,-9.8425
18315Goleen,Ireland,1.5,25574,51.48164,-9.8425,51.61581,-9.54417
18045Sheepshead,Ireland,1.5,23323,51.61581,-9.54417,51.54081,-9.85753
18045Sheepshead,Ireland,1.6,34787,51.54081,-9.85753,51.72956,-9.45836
18050Curryglass,Ireland,1.6,50680,51.72956,-9.45836,51.61164,-10.16419
18051Kilcatherine,Ireland,1.5,51827,51.61164,-10.16419,51.8825,-9.55586
19059Reen,Ireland,1.5,43126,51.8825,-9.55586,51.73625,-10.13336
19008Cathair Dónall,Ireland,1.1,8074,51.73625,-10.13336,51.77747,-10.22922
19013Doire Fhíonáin,Ireland,1.1,9054,51.77747,-10.22922,51.85458,-10.18836
19015An tImleach,Ireland,1.1,13516,51.85458,-10.18836,51.78208,-10.34497
19023Toghroinn Fhíonáin,Ireland,1,7968,51.78208,-10.34497,51.84333,-10.40422
19024Teeranearagh,Ireland,1.3,12185,51.84333,-10.40422,51.90247,-10.25589
19024Teeranearagh,Ireland,1.2,9908,51.90247,-10.25589,51.99125,-10.26003
19066Caragh,Ireland,2.2,39055,51.99125,-10.26003,52.15664,-9.75919
19040Cinn Aird,Ireland,2.1,48413,52.15664,-9.75919,52.09289,-10.45667
19042Márthain,Ireland,1.4,17142,52.09289,-10.45667,52.23542,-10.36342
19029Cé Bhréanainn,Ireland,1.5,13911,52.23542,-10.36342,52.29122,-10.18169
19029Cé Bhréanainn,Ireland,1.5,6787,52.29122,-10.18169,52.23039,-10.18333
19027An Baile Dubh,Ireland,1.5,6766,52.23039,-10.18333,52.24706,-10.08833
