nearestid,country,averageincquintile,lengthinmetres,lengthinmetresbeforesimplification,startlat,startlon,endlat,endlon,average2019detachedhouseprice,coastalpopulationdensity
18246Ballintemple,Ireland,4.4,14778,21148,51.8587,-8,51.7838,-8.1767,0,151
18253Corkbeg,Ireland,4.5,7231,10783,51.7838,-8.1767,51.8142,-8.2692,0,739
18253Corkbeg,Ireland,4.5,8347,12606,51.8142,-8.2692,51.8612,-8.175,0,909
17041Knockrea B,Ireland,3.2,20244,40595,51.8612,-8.175,51.9004,-8.4617,0,1369
18195Templebreedy,Ireland,3.2,17198,56017,51.9004,-8.4617,51.7975,-8.2759,0,1524
18195Templebreedy,Ireland,4.6,10452,21746,51.7975,-8.2759,51.7146,-8.3467,0,490
18194Nohaval,Ireland,4.6,13209,35408,51.7146,-8.3467,51.6954,-8.535,0,170
18189Kinsale Rural,Ireland,4.4,9939,19605,51.6954,-8.535,51.6062,-8.5334,0,155
18057Butlerstown,Ireland,4.1,16375,24791,51.6062,-8.5334,51.6437,-8.7617,0,154
18057Butlerstown,Ireland,4.1,8911,19586,51.6437,-8.7617,51.5696,-8.7134,0,195
18001Clonakilty Urban,Ireland,3.9,13236,19972,51.5696,-8.7134,51.6213,-8.8851,0,121
18001Clonakilty Urban,Ireland,3.7,9508,19667,51.6213,-8.8851,51.5388,-8.92,0,164
18070Rathbarry,Ireland,2.7,15528,29525,51.5388,-8.92,51.5629,-9.1401,0,121
18292Castlehaven North,Ireland,2.2,18052,51223,51.5629,-9.1401,51.4662,-9.3483,0,75
18306Skibbereen Rural,Ireland,1.6,8582,16698,51.4662,-9.3483,51.5417,-9.3242,0,117
18306Skibbereen Rural,Ireland,1.6,8304,12037,51.5417,-9.3242,51.4946,-9.4167,0,134
18316Kilcoe,Ireland,1.7,7888,20679,51.4946,-9.4167,51.5604,-9.4584,0,140
18318Skull,Ireland,1.6,25537,67158,51.5604,-9.4584,51.4446,-9.775,0,35
18312Crookhaven,Ireland,1.3,6256,21167,51.4446,-9.775,51.4816,-9.8425,0,13
18313Dunbeacon,Ireland,1.5,25489,34309,51.4816,-9.8425,51.61,-9.5392,0,34
18045Sheepshead,Ireland,1.5,23424,30511,51.61,-9.5392,51.5408,-9.8575,0,38
18045Sheepshead,Ireland,1.6,34786,46971,51.5408,-9.8575,51.7296,-9.4584,0,36
18050Curryglass,Ireland,1.6,50680,95372,51.7296,-9.4584,51.6116,-10.1642,0,28
18051Kilcatherine,Ireland,1.5,51828,105973,51.6116,-10.1642,51.8825,-9.5559,0,22
19059Reen,Ireland,1.5,43128,67586,51.8825,-9.5559,51.7362,-10.1334,0,21
19008Cathair Dónall,Ireland,1.2,8075,15427,51.7362,-10.1334,51.7775,-10.2292,0,29
19013Doire Fhíonáin,Ireland,1.1,9052,14710,51.7775,-10.2292,51.8546,-10.1884,0,46
19015An tImleach,Ireland,1.1,13515,18313,51.8546,-10.1884,51.7821,-10.345,0,34
19023Toghroinn Fhíonáin,Ireland,1,7962,15108,51.7821,-10.345,51.8433,-10.4042,0,28
19024Teeranearagh,Ireland,1.3,12187,21066,51.8433,-10.4042,51.9025,-10.2559,0,47
19024Teeranearagh,Ireland,1.2,9911,27918,51.9025,-10.2559,51.9913,-10.26,0,59
19066Caragh,Ireland,2.2,39048,77379,51.9913,-10.26,52.1566,-9.7592,0,55
19040Cinn Aird,Ireland,2.1,48414,95059,52.1566,-9.7592,52.0929,-10.4567,0,48
19042Márthain,Ireland,1.4,17140,43727,52.0929,-10.4567,52.2354,-10.3634,0,29
19029Cé Bhréanainn,Ireland,1.5,13909,18322,52.2354,-10.3634,52.2912,-10.1817,0,22
19029Cé Bhréanainn,Ireland,1.5,6740,10360,52.2912,-10.1817,52.2308,-10.1842,0,43
19027An Baile Dubh,Ireland,1.5,6815,9781,52.2308,-10.1842,52.2471,-10.0883,0,55
19044An Sráidbhaile,Ireland,1.9,8773,15043,52.2471,-10.0883,52.3137,-10.0201,0,29
19032Deelis,Ireland,1.9,10046,15177,52.3137,-10.0201,52.232,-9.9583,0,41
